382 (152000,74) 18.145235280322304
383 (152000,15800) 18.145235280322304
384 (152000,15900) 18.145235280322304
385 (152000,16000) 18.145235280322304
386 (153000,71) 7.345842521199379
387 (153000,14800) 7.345842521199379
388 (154000,72) 10.997954894171302
389 (154000,15100) 10.997954894171302
390 (154000,15200) 10.997954894171302
391 (155000,88) 27.78239114909782
392 (155000,19400) 27.78239114909782
393 (156000,93) 37.370469159390595
394 (156000,21200) 37.370469159390595
395 (157000,72) 15.227916499175903
396 (157000,15100) 15.227916499175903
397 (158000,75) 21.314030448197528
398 (158000,16100) 21.314030448197528
399 (159000,76) 43.14853661641368
400 (159000,16300) 43.14853661641368
401 (159000,16400) 43.14853661641368
402 (160000,85) 22.132014123264
403 (160000,18600) 22.132014123264
404 (161000,78) 65.5553915765174
405 (161000,16700) 65.5553915765174
406 (162000,74) 20.912275838130608
407 (162000,15700) 20.912275838130608
408 (162000,15800) 20.912275838130608
409 (162000,16000) 20.912275838130608
410 (163000,77) 37.42533063216947
411 (164000,82) 45.78531502055385
412 (164000,17600) 45.78531502055385
413 (164000,17700) 45.78531502055385
414 (165000,76) 45.91293007454432
415 (165000,16200) 45.91293007454432
416 (165000,16400) 45.91293007454432
417 (166000,79) 12.034786910644973
418 (166000,16800) 12.034786910644973
419 (166000,16900) 12.034786910644973
420 (167000,82) 44.86977096020385
421 (167000,17500) 44.86977096020385
422 (167000,17600) 44.86977096020385
423 (167000,17700) 44.86977096020385
424 (168000,70) 48.66394953139755
425 (168000,14600) 48.66394953139755
426 (169000,77) 19.33377917743119
427 (169000,16500) 19.33377917743119
428 (170000,81) 15.767337123745472
429 (170000,17200) 15.767337123745472
430 (170000,17300) 15.767337123745472
431 (171000,80) 6.639062514118137
432 (172000,82) 16.325411823635648
433 (172000,17500) 16.325411823635648
434 (173000,83) 48.59012937844243
435 (173000,17900) 48.59012937844243
436 (173000,18000) 48.59012937844243
437 (173000,18100) 48.59012937844243
438 (174000,103) 24.603543603815176
439 (175000,76) 54.42135256410805
440 (175000,16200) 54.42135256410805
441 (175000,16300) 54.42135256410805
442 (176000,81) 9.652858098873201
443 (176000,17300) 9.652858098873201
444 (176000,17400) 9.652858098873201
445 (177000,86) 30.0256
446 (177000,18800) 30.0256
447 (178000,81) 37.96435726497512
448 (178000,17100) 37.96435726497512
449 (178000,17400) 37.96435726497512
450 (179000,84) 4.827301280930401
451 (179000,18300) 4.827301280930401
452 (180000,87) 31.018905770815017
453 (180000,19000) 31.018905770815017
454 (180000,19100) 31.018905770815017
455 (181000,104) 27.38717941666667
456 (182000,83) 4.943536790046488
457 (182000,17800) 4.943536790046488
458 (182000,18000) 4.943536790046488
459 (182000,18100) 4.943536790046488
460 (183000,86) 4.808244771428571
461 (183000,18800) 4.808244771428571
462 (184000,74) 13.772314814814814
463 (184000,15700) 13.772314814814814
464 (184000,15800) 13.772314814814814
465 (184000,15900) 13.772314814814814
466 (184000,16000) 13.772314814814814
467 (185000,86) 27.340401506878305
468 (185000,18700) 27.340401506878305
469 (186000,105) 29.63309370059442
470 (187000,84) 4.824776736507936
471 (187000,18200) 4.824776736507936
472 (188000,85) 27.281711411199996
473 (188000,18400) 27.281711411199996
474 (189000,83) 37.78840522289422
475 (189000,17800) 37.78840522289422
476 (189000,17900) 37.78840522289422
477 (189000,18000) 37.78840522289422
478 (189000,18100) 37.78840522289422
479 (190000,89) 4.600106473439241
480 (190000,19600) 4.600106473439241
481 (190000,19700) 4.600106473439241
482 (191000,90) 25.583110347805118
483 (191000,19900) 25.583110347805118
484 (191000,20000) 25.583110347805118
485 (191000,20100) 25.583110347805118
486 (192000,106) 18.634532567385776
487 (193000,73) 39.50657696114514
488 (193000,15300) 39.50657696114514
489 (194000,91) 16.990930433049858
490 (194000,20400) 16.990930433049858
491 (194000,20500) 16.990930433049858
492 (195000,105) 28.8
493 (196000,84) 20.870699659630496
494 (196000,18200) 20.870699659630496
495 (196000,18300) 20.870699659630496
496 (197000,88) 10.072725450596373
497 (197000,19300) 10.072725450596373
498 (197000,19400) 10.072725450596373
499 (197000,19500) 10.072725450596373
500 (198000,87) 29.291957596886636
501 (198000,18900) 29.291957596886636
502 (198000,19200) 29.291957596886636
503 (199000,89) 14.352011249938187
504 (199000,19700) 14.352011249938187
505 (200000,91) 9.818181818181818
506 (200000,20300) 9.818181818181818
507 (201000,92) 27.07218836940463
508 (201000,20700) 27.07218836940463
509 (201000,20800) 27.07218836940463
510 (202000,107) 20.645214087901234
511 (203000,88) 16.8597996288461
512 (203000,19300) 16.8597996288461
513 (204000,90) 15.675400064191285
514 (204000,20100) 15.675400064191285
515 (204000,20200) 15.675400064191285
516 (205000,93) 8.472288492489895
517 (205000,21000) 8.472288492489895
518 (205000,21200) 8.472288492489895
519 (206000,90) 28.151194344976282
520 (206000,19800) 28.151194344976282
521 (206000,20200) 28.151194344976282
522 (207000,95) 20.58363807415348
523 (207000,21700) 20.58363807415348
524 (208000,99) 40.87236760171172
525 (208000,23000) 40.87236760171172
526 (208000,23100) 40.87236760171172
527 (208000,23200) 40.87236760171172
528 (209000,108) 23.584512931107955
529 (210000,73) 57.099792169711215
530 (210000,15300) 57.099792169711215
531 (210000,15400) 57.099792169711215
532 (210000,15500) 57.099792169711215
533 (211000,91) 3.9456734297932683
534 (211000,20400) 3.9456734297932683
535 (212000,94) 6.333921079482809
536 (212000,21300) 6.333921079482809
537 (212000,21400) 6.333921079482809
538 (212000,21500) 6.333921079482809
539 (213000,95) 6.860311809650262
540 (213000,21600) 6.860311809650262
541 (213000,21700) 6.860311809650262
542 (213000,21800) 6.860311809650262
543 (214000,97) 14.059565346351677
544 (214000,22100) 14.059565346351677
545 (214000,22300) 14.059565346351677
546 (214000,22400) 14.059565346351677
547 (215000,109) 14.49249140179753
548 (216000,92) 27.397965952171354
549 (216000,20800) 27.397965952171354
550 (216000,20900) 27.397965952171354
551 (217000,93) 12.173161931358269
552 (217000,21000) 12.173161931358269
553 (217000,21100) 12.173161931358269
554 (217000,21200) 12.173161931358269
555 (218000,98) 21.447337090585766
556 (218000,22600) 21.447337090585766
557 (218000,22700) 21.447337090585766
558 (218000,22800) 21.447337090585766
559 (219000,69) 65.9453452716897
560 (219000,14300) 65.9453452716897
561 (219000,14500) 65.9453452716897
562 (220000,71) 18.365034331608022
563 (220000,14900) 18.365034331608022
564 (221000,69) 13.01058155459048
565 (221000,14300) 13.01058155459048
566 (221000,14400) 13.01058155459048
567 (222000,94) 20.923994473924207
568 (222000,21300) 20.923994473924207
569 (222000,21500) 20.923994473924207
570 (223000,98) 18.37246735151671
571 (223000,22700) 18.37246735151671
572 (223000,22800) 18.37246735151671
573 (224000,109) 12.0
574 (225000,95) 15.726696765124736
575 (225000,21600) 15.726696765124736
576 (226000,97) 10.418691716067224
577 (226000,22200) 10.418691716067224
578 (226000,22400) 10.418691716067224
579 (227000,99) 13.933882687926738
580 (227000,22900) 13.933882687926738
581 (227000,23100) 13.933882687926738
582 (227000,23200) 13.933882687926738
583 (228000,101) 12.784113136707408
584 (228000,23700) 12.784113136707408
585 (228000,23900) 12.784113136707408
586 (229000,92) 41.63388095236218
587 (229000,20600) 41.63388095236218
588 (229000,20900) 41.63388095236218
589 (230000,98) 11.697008393594839
590 (230000,22500) 11.697008393594839
591 (230000,22600) 11.697008393594839
592 (230000,22800) 11.697008393594839
593 (231000,100) 28.248986936081227
594 (231000,23400) 28.248986936081227
595 (231000,23500) 28.248986936081227
596 (232000,110) 19.476575714948602
597 (233000,99) 57.95247369922012
598 (233000,22900) 57.95247369922012
599 (233000,23000) 57.95247369922012
600 (233000,23200) 57.95247369922012
601 (234000,101) 29.14878030004861
602 (234000,23700) 29.14878030004861
603 (234000,23800) 29.14878030004861
604 (235000,102) 28.69198362184098
605 (235000,24000) 28.69198362184098
606 (236000,111) 25.334133211400697
607 (237000,66) 25.045389321600002
608 (237000,13500) 25.045389321600002
609 (238000,98) 26.540393979742795
610 (238000,22500) 26.540393979742795
611 (238000,22600) 26.540393979742795
612 (238000,22700) 26.540393979742795
613 (239000,100) 24.619699620095584
614 (239000,23500) 24.619699620095584
615 (239000,23600) 24.619699620095584
616 (240000,100) 15.533231261538463
617 (240000,23300) 15.533231261538463
618 (240000,23600) 15.533231261538463
619 (241000,81) 22.359864142765403
620 (241000,17100) 22.359864142765403
621 (241000,17200) 22.359864142765403
622 (242000,85) 30.189247935619573
623 (242000,18400) 30.189247935619573
624 (242000,18500) 30.189247935619573
625 (243000,88) 29.501564152978457
626 (243000,19300) 29.501564152978457
627 (244000,87) 44.68114052740589
628 (244000,18900) 44.68114052740589
629 (244000,19000) 44.68114052740589
630 (244000,19100) 44.68114052740589
631 (245000,90) 45.71692432922407
632 (245000,19800) 45.71692432922407
633 (245000,19900) 45.71692432922407
634 (245000,20000) 45.71692432922407
635 (245000,20100) 45.71692432922407
636 (246000,92) 37.05164428230465
637 (246000,20600) 37.05164428230465
638 (246000,20700) 37.05164428230465
639 (247000,95) 21.189272688573748
640 (247000,21600) 21.189272688573748
641 (247000,21700) 21.189272688573748
642 (248000,97) 12.973610936625214
643 (248000,22100) 12.973610936625214
644 (248000,22200) 12.973610936625214
645 (249000,100) 42.96510567418265
646 (249000,23300) 42.96510567418265
647 (249000,23400) 42.96510567418265
